Project name,Developer,Status,Operating year,Power capacity (MW),Building square footage,Land acres,CapEx,County,State,Latitude,Longitude,Source 1,Source 2,Source 3,Key community benefits,Permanent jobs predicted,Temporary construction jobs predicted,Local hire commitment,Workforce programs,Infrastructure commitments,Community opposition,Formal CBA?,Sources for community benefits,Est. power capacity (MW),Power capacity note,Last audited
Tract Austin,Tract,Planned,,2000,,1515,,Caldwell,TX,29.921659,-97.759283,https://www.datacenterdynamics.com/en/news/tract-acquires-1515-acres-outside-austin-texas-for-2gw-data-center-park/,,,Economic development for rural Caldwell County area,Not specified,Not specified,Not specified,Not specified,On-site generation and purchased gas power,Not specified,No,https://www.datacenterdynamics.com/en/news/tract-acquires-1515-acres-outside-austin-texas-for-2gw-data-center-park/,,,
Tract Phoenix,Tract,Planned,,1800,,2069,,Maricopa,AZ,33.375553,-111.89063505,https://www.datacenterdynamics.com/en/news/tract-announces-18gw-data-center-park-in-phoenix-arizona/,,,Job creation; tax revenue for Maricopa County,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No,https://www.datacenterdynamics.com/en/news/tract-announces-18gw-data-center-park-in-phoenix-arizona/,,,
Provident Data Center Texas,Provident Data Centers,Under Construction,2026,1800,,768,,Ellis,TX,32.53590048,-96.800422,https://www.datacenterdynamics.com/en/news/powerhouse-and-provident-to-develop-18gw-campus-in-dfw-texas/,,,Job creation; tax revenue for Ellis County,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No,https://www.datacenterdynamics.com/en/news/powerhouse-and-provident-to-develop-18gw-campus-in-dfw-texas/,,,
Project Cardinal Data Center,Pioneer Development,Planned,,1800,1570000,1037,,Kendall,IL,41.71730289,-88.47554230999998,https://www.datacenterdynamics.com/en/news/two-data-center-campuses-totaling-38-buildings-proposed-in-yorkville-illinois/,,,Economic development for Yorkville/Kendall County area,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No,https://www.datacenterdynamics.com/en/news/two-data-center-campuses-totaling-38-buildings-proposed-in-yorkville-illinois/,,,
Crusoe WY Campus,Tallgrass (Project Jade; Crusoe exited Jun 2026),Planned,,1800,,,,Laramie,WY,,,https://www.datacenterdynamics.com/en/news/crusoe-plans-18gw-data-center-campus-in-wyoming/,,,Economic development for Wyoming,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,No,https://www.datacenterdynamics.com/en/news/crusoe-plans-18gw-data-center-campus-in-wyoming/,,Project Jade continues under Tallgrass; 2.7GW gas generation approved; total project cost reported up to $50B (Cowboy State Daily/DCD),
AWS New Carlisle - Expansion,Amazon,Under Construction,2026,1725,,1200,11000000000,St. Joseph,IN,41.6713922,-86.4812191,https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html,,,Community enhancement agreement worth ~$143M; expected local tax revenue; project estimated ~400 permanent jobs and ~600 construction jobs.,400,600,Not specified in public sources located (focus on job creation).,Amazon has indicated workforce development/training programs as part of Indiana data center investment (details not specified for this site).,Community enhancement agreement intended for community improvements; specific infrastructure items not detailed in sources located.,Some local concerns about tax abatements and whether benefits/jobs justify incentives.,No,https://www.datacenterdynamics.com/en/news/st-joseph-county-leaders-approve-11bn-amazon-data-center-in-indiana/ ; https://wsbt.com/news/local/amazon-data-center-final-vote-approve-buildings-jobs-construction-economy-revenue-funds-community-enhancement-agreement-redevelopment-commission-council-new-carlisle-st-joseph-county-indiana,,,
LC Campus,CloudHQ,Planned,,1700,8500000,,,Loudoun,VA,39.01015,-77.4627,https://cloudhq.com/campus/lc-campus/,,,No specific community benefits package publicly disclosed on developer materials located; primary local benefit appears to be tax base/jobs typical of Loudoun data center development.,,,Not publicly specified.,Not publicly specified.,Not publicly specified.,Not identified in sources reviewed.,No,https://cloudhq.com/campus/lc-campus/,,,
Colossus 2,xAI,Operational,2026,1563,,100,,Shelby,TN,35.00019187,-90.0433191,https://epoch.ai/data/gpu-clusters?view=table,https://www.datacenterdynamics.com/en/news/elon-musks-xai-buys-one-million-sq-ft-site-for-second-memphis-data-center/,,"Memphis community benefit ordinance/commitment directs 25% of xAI city property tax revenue (reported up to ~$100M) to invest in neighborhoods within 5 miles of the facility; job creation claims (~320–500). [NOTE: This is a unilateral/ordinance-based commitment publicly described as a 'community benefits agreement,' but the NAACP and local advocates dispute that it is a genuinely negotiated CBA (no community signatories; arbitrary target). Formal CBA? kept as 'No'.]",320,,Not clearly specified in sources reviewed.,Not clearly specified; general job creation claims.,Not clearly specified.,Significant opposition and environmental justice concerns (air pollution / backup power); NAACP and others have pursued legal action / complaints.,No,https://ncrc.org/south-memphis-residents-skeptical-of-musks-xai-economic-growth-claims-as-pollution-concerns-grow/ ; https://time.com/7308925/elon-musk-memphis-ai-data-center/ ; https://apnews.com/article/571c16950259b382f9eae61bd59260ef ; https://tennesseelookout.com/2025/07/30/an-arbitrary-community-benefits-agreement-for-musk-project-gives-no-justice-for-black-memphians/,,,
Project Domino,Meta,Planned,2027,1540,4600000,1400,4800000000,Boone,IN,40.0478708,-86.52611109999998,https://cityofjeff.net/2024/01/25/meta-announces-800m-jeffersonville-data-center/,https://www.datacenterdynamics.com/en/news/meta-set-to-develop-1500-acre-data-center-campus-outside-indianapolis-indiana/,,"Meta community grants program provides funding to local nonprofits/schools in data center communities; broader economic development claims, but local groups have raised concerns about tax abatements vs local investment.",,,Not publicly specified in sources reviewed.,Not publicly specified in sources reviewed.,Not publicly specified in sources reviewed.,Community pushback reported regarding tax abatements and limited local workforce/economic investment.,No,https://datacenters.atmeta.com/community-action-grants/ ; https://www.wave3.com/2025/10/05/jeffersonville-community-pushes-back-against-meta-data-center/ ; https://cityofjeff.net/2024/01/25/meta-announces-800m-jeffersonville-data-center/,,,
Digital Gateway,QTS,Planned,,1500,11300000,1066,12500000000,Prince William,VA,38.8049033,-77.57359549999998,https://www.pecva.org/region/fauquier/putting-the-pieces-together-on-digital-gateway/,,,"Rezoning/proffers include open space and buffering measures; developers have referenced protecting ~800 acres, donating land, creating trails/park improvements, and other mitigation measures (per reporting).",,,Not publicly specified in sources reviewed.,Not publicly specified in sources reviewed.,Proffers/rezoning conditions (site-specific; see proffer packet).,Very high opposition (adjacent to Manassas battlefield; lawsuits and a judge voided rezoning for notice issues).,No,https://www.pwcva.gov/assets/2023-12/REZ2022-00033%20Proffers%20Packet%2020231210.pdf ; https://www.businessinsider.com/data-centers-northern-virginia-noise-air-pollution-cost-2025-5 ; https://northernvirginiamag.com/news/2025/08/11/judge-blocks-prince-william-digital-gateway-data-center-project/ ; https://dcist.com/story/23/12/13/prince-william-board-of-county-supervisors-approve-digital-gateway-plan/,,,
Gouldsboro Data Center,1778 Rich Pike LLC,Planned,,1500,9400000,1000,14250000000,Lackawanna,PA,41.248901,-75.5163103,https://www.thetimes-tribune.com/2025/07/10/developer-looks-to-build-30-plus-data-centers-in-north-pocono/,,,No negotiated community benefits package identified in sources reviewed; project has faced zoning/legal challenges and community concerns.,,,Not publicly specified.,Not publicly specified.,Not publicly specified.,Local opposition and legal/zoning challenges reported in Clifton/Covington townships.,No,https://www.thetimes-tribune.com/2025/07/10/developer-looks-to-build-30-plus-data-centers-in-north-pocono/ ; https://www.wvia.org/news/local/2025-11-18/clifton-twp-zoning-board-will-decide-outcome-of-challenge-to-data-center-zoning-ordinance ; https://lackawannacounty.com/news/clifton-township-votes-not-move-forward-settlement-data-center-zoning-challenge,,,
Digital Gateway,Compass Datacenters,Planned,,1500,11550000,1066,12500000000,Prince William,VA,38.8049033,-77.57359549999998,https://www.pecva.org/region/fauquier/putting-the-pieces-together-on-digital-gateway/,,,Rezoning/proffers include open space and buffering measures; reporting notes protections such as open space and land donation/trails (see sources).,,,Not publicly specified.,Not publicly specified.,Proffers/rezoning conditions (see proffer packet).,Very high opposition; litigation and court ruling voiding rezoning for notice issues.,No,https://www.pwcva.gov/assets/2023-12/REZ2022-00033%20Proffers%20Packet%2020231210.pdf ; https://www.businessinsider.com/data-centers-northern-virginia-noise-air-pollution-cost-2025-5 ; https://northernvirginiamag.com/news/2025/08/11/judge-blocks-prince-william-digital-gateway-data-center-project/,,,
Wilderness Crossing,Amazon,Planned,2027,1500,5000000,732,,Orange,VA,38.333162,-77.731088,https://www.pecva.org/region/culpeper/existing-and-proposed-data-centers-a-web-map/,https://baxtel.com/data-center/amazon-wilderness-crossing,,No specific negotiated community benefits package identified in sources reviewed; project framed around tax revenue/jobs but is highly controversial due to impacts near Wilderness Battlefield.,,,Not publicly specified.,Not publicly specified.,Not publicly specified.,"High opposition from preservation/environment groups regarding battlefield impacts, water use, etc.",No,https://virginiamercury.com/2024/05/28/virginia-explained-data-center-expansion-with-all-its-challenges-and-benefits/ ; https://www.pecva.org/region/orange/imperiled-by-development-wilderness-battlefield-named-one-of-nations-11-most-endangered-historic-places/ ; https://www.battlefields.org/preserve/data-center-development-and-historic-battlefields,,,
Mount Pleasant Campus,Microsoft,Operational,2026,1480,1110000,1000,7300000000,Racine,WI,42.690679,-87.93741099999998,https://cdn.misoenergy.org/NEW%20LOAD%20ANNOUNCEMENTS%20IN%20MISO%20REGIONS%2012062024684954.pdf,https://www.datacenterdynamics.com/en/news/microsoft-increases-wisconsin-data-center-investment-to-73bn-says-fairwater-site-will-be-worlds-most-powerful-data-center/,https://epoch.ai/data/gpu-clusters?view=table,"Microsoft announced major investment in Wisconsin (Mount Pleasant/Racine County) including AI skilling initiative for 100,000+ residents and a manufacturing-focused AI co-innovation lab; reported total investment later increased to ~$7B with up to ~800 jobs when fully operational.",800,,Not explicitly stated; job creation and training focus.,"AI skilling initiative (100,000+ residents) and related training/education investments.",Microsoft has cited investments in electrical infrastructure and energy-efficient cooling (per reporting).,"Some Wisconsin data center proposals have faced local pushback (general context), but Mount Pleasant project has local approvals (see sources).",No,https://news.microsoft.com/source/2024/05/08/microsoft-announces-3-3-billion-investment-in-wisconsin-to-spur-artificial-intelligence-innovation-and-economic-growth/ ; https://www.reuters.com/business/microsoft-boosts-wisconsin-data-center-spending-7-billion-2025-09-18/ ; https://rcedc.org/village-of-mount-pleasant-approves-agreements-with-microsoft/,,,
IREN Sweetwater 1,IREN,Operational,2026,1400,,1300,,Nolan,TX,32.46384557,-100.3299567,https://iren.com/resources/video/introduction-to-sweetwater,https://www.datacenterdynamics.com/en/news/iren-plans-75mw-liquid-cooled-ai-data-center-in-texas/,,"IREN community grants program offers up to $100,000 annually for local initiatives (education, sustainability, safety, tech, learning) in its operating communities (e.g., Childress, TX).",,,Not publicly specified.,Community grants support local learning/technology initiatives.,Not publicly specified.,Not identified in sources reviewed.,No,https://iren.com/company/community-grants/childress,,,
Frontier - Shackelford County,Vantage Data Centers,Under Construction,2026,1400,3700000,1200,25000000000,Shackelford,TX,32.5468971,-99.573615,https://vantage-dc.com/data-center-locations/north-america/shackelford-county-tx,https://www.reporternews.com/story/news/2025/09/24/tech-ceo-officials-host-tour-of-stargate-data-center-in-north-abilene-texas-newspaper/86326749007/,,No project-specific community benefits package identified in sources reviewed; developer highlights economic development and large capital investment.,,,Not publicly specified.,Not publicly specified.,Not publicly specified.,Not identified in sources reviewed.,No,https://www.reuters.com/business/vantage-data-centers-plans-25-billion-ai-campus-texas-2025-08-19/ ; https://vantage-dc.com/data-center-locations/north-america/shackelford-county-tx,,,
PAX – Pennsylvania Digital I,PowerHouse,Planned,2027,1350,4200000,700,15000000000,Cumberland,PA,40.256625,-77.11911929999998,https://www.americanrepartners.com/news/pennsylvania-data-center-partners-and-powerhouse-data-centers-launch-joint-venture-to-build-next-gen-1-35-gw-hyperscale-data-center-campus-in-carlisle-pennsylvania,,,"Project press release estimates >$65M in direct tax revenue, with allocations reported for local school district, township, and county; job creation expected across construction and operations roles.",,,Not publicly specified.,Not publicly specified.,Not publicly specified.,Not identified in sources reviewed.,No,https://www.powerhousedata.com/news/pennsylvania-data-center-partners-and-powerhouse-data-centers-launch-joint-venture-to-build-next-gen-1-35-gw-hyperscale-data-center-campus-in-carlisle-pennsylvania ; https://finance.yahoo.com/news/pennsylvania-data-center-partners-powerhouse-195000034.html,,,
PowerHouse Grand Prairie - Phase 2,PowerHouse,Planned,,1300,,768,,Ellis,TX,32.53590048,-96.800422,https://www.datacenterdynamics.com/en/news/powerhouse-and-provident-to-develop-18gw-campus-in-dfw-texas/,,,No project-specific community benefits package identified in sources reviewed; developer emphasizes economic opportunities but details not provided.,,,Not publicly specified.,Not publicly specified.,Not publicly specified.,Not identified in sources reviewed.,No,https://www.datacenterdynamics.com/en/news/powerhouse-and-provident-to-develop-18gw-campus-in-dfw-texas/ ; https://www.powerhousedata.com/news/powerhouse-and-provident-rewrite-the-data-center-playbook-with-new-texas-hyperscale-campus,,,
Spring Valley Technology Park,Active Infrastructure,Planned,,1300,3500000,362,,Loudoun,VA,38.9961614,-77.5686106,https://archive.is/M2mQA,https://drive.google.com/file/d/18dJxlS8OOJNQqbLP3nxWFihWSRQs1JWE/view?usp=drive_link,,"No negotiated community benefits package identified in sources reviewed; project has significant environmental/community concern raised by local groups (forest loss, watershed impacts).",,,Not publicly specified.,Not publicly specified.,Not publicly specified.,Opposition/concerns documented by local environmental group(s).,No,https://loudounwildlife.org/2025/05/spring-valley-technology-park/ ; https://drive.google.com/file/d/18dJxlS8OOJNQqbLP3nxWFihWSRQs1JWE/view,,,
Project Washington Campus,Starwood Digital Ventures,Planned,2028,1200,6100000,580,,New Castle,DE,39.60223861,-75.64770156999998,https://www.datacenterdynamics.com/en/news/starwood-files-to-develop-12gw-11-building-data-center-campus-in-delaware/,,,"Developer/economic impact claims include ~3,500 construction jobs, ~700 permanent jobs, and ~$75M/year local taxes; developer also cites labor agreement and ~40% open space commitment.",700,3500,Labor agreement / union labor reported; local hire specifics not confirmed in sources reviewed.,Not publicly specified.,Not publicly specified; concerns center on grid/electric rates.,Opposition reported from Delaware Black Chamber of Commerce and other stakeholders; concerns about energy/environment vs benefits.,No,https://www.delawarepublic.org/show/the-green/2025-10-24/as-delaware-mulls-plans-for-massive-data-center-worries-persist-over-electric-rates ; https://technical.ly/civics/delaware-data-center-risks-benefits-project-washington/ ; https://delawarebusinesstimes.com/news/starwood-digital-union/ ; https://baytobaynews.com/daily-state-news/stories/starwood-digital-ventures-ceo-further-outlines-delaware-city-data-center-plans%2C260326,,,
EdgeCore Shannon Hill Campus,EdgeCore,Planned,,1100,3900000,697,17000000000,Louisa,VA,37.883446,-78.038852,https://www.datacenterdynamics.com/en/news/edgecore-to-develop-11gw-data-center-in-louisa-county-virginia/,,,"County sale announcement highlights EdgeCore focus on community engagement/sustainability; project reported as ~$17B investment with large campus (1.1+GW). Specific negotiated benefits (funds, hiring targets) not identified in sources reviewed.",,,Not publicly specified.,Not publicly specified.,Not publicly specified.,Not identified in sources reviewed (early stage).,No,https://www.louisacounty.gov/CivicAlerts.aspx?AID=470 ; https://virginiabusiness.com/17b-louisa-county-data-center-edgecore/,,,
Stack Infrastructure Stafford Campus,Stack Infrastructure,Planned,2027,1100,5800000,500,,Stafford,VA,38.38512162,-77.43161729,https://www.pecva.org/region/culpeper/existing-and-proposed-data-centers-a-web-map/,https://www.datacenterdynamics.com/en/news/stack-plans-1gw-campus-in-stafford-county-virginia/,https://www.stackinfra.com/locations/americas/northern-virginia/stc/,"Tax revenue, economic growth, job creation; minimal water impact with closed-loop air-cooled system; community-first approach promised",~25 per building (estimated),Thousands during construction,"Not specified; ""community-first approach"" stated",Not specifically detailed,Minimal water impact via closed-loop air-cooled system (WUE below 0.01 L/kWh); water from James River Water Authority pipeline,"Part of broader Louisa County data center resistance; county bought property in 2018, rezoned 2019; earlier 1600-acre proposal faced pushback over rural character concerns",No,edgecore.com; thecentralvirginian.com; wric.com,,,
Madison Data Centers,Amazon,Planned,2027,1034,250000,1713,10000000000,Madison,MS,32.5936898,-90.0963975,https://assets.aboutamazon.com/8e/7d/ef712c37475bbe5f91a96358e9ff/aws-mississippi-eis-factsheet.pdf,https://cdn.misoenergy.org/NEW%20LOAD%20ANNOUNCEMENTS%20IN%20MISO%20REGIONS%2012062024684954.pdf,,$80M+ annual tax revenue; eliminates $58M from county Capital Improvement Program for water/sewer; hundreds of full-time jobs; community fund to support local development,Hundreds of well-compensated full-time jobs,"1,000+ construction jobs during peak development",Not specified,Not specifically detailed,$58M water/sewer infrastructure upgrades; reclaimed (purple pipe) water system for cooling; tree preservation; noise limitations; traffic controls,Part of broader Northern Virginia data center debate; Stafford County implementing stricter regulations (500ft setbacks proposed),No,stackinfra.com; datacenterdynamics.com; globenewswire.com,,,
Fermi Advanced Energy &amp; Intelligence Campus,Fermi America,Under Construction,2026,1000,18000000,5800,,Carson,TX,35.2999029,-101.5926614,https://www.sec.gov/Archives/edgar/data/2071778/000121390025085175/ea0252333-01.htm,,,"$10B investment (largest in MS history); 1,000+ jobs; $3.3B added to MS GDP; 2,700+ FTE jobs annually; training programs; K-12 STEM; community orchard","1,000+ direct jobs",Thousands (75+ MS companies engaged in construction),75+ Mississippi companies already engaged in construction/operations,"Amazon Community Workforce Accelerator training center; Holmes & Hinds Community College programs; fiber splicing workshops; K-12 STEM (Madison, Canton, Jackson schools); I2PA pre-apprenticeship",650MW solar energy projects; renewable energy matching commitments,"Skeptics note few permanent jobs relative to investment; concerns about tax incentives vs actual benefits; questions about ""tech"" vs warehousing jobs",No,aboutamazon.com; mississippi.org; wbhm.org,,,
Abilene Stargate Campus - Phase 2,Crusoe,Under Construction,2026,1000,3020000,,11600000000,Cook,TX,32.4986286,-99.7887683,https://www.crusoe.ai/resources/newsroom/crusoe-expands-ai-data-center-campus-in-abilene-to-1-2-gigawatts,https://www.datacenterdynamics.com/en/news/crusoe-begins-construction-on-second-phase-of-abilene-texas-data-center-campus-will-add-six-buildings/,https://epoch.ai/data/gpu-clusters?view=table,"600 full-time jobs at completion (40/phase x 15 phases); 9,000+ construction jobs at peak; tax abatement; Texas Tech partnership",600 full-time positions,"9,000+ at peak; 3,000 construction workers",Partnership with local trade schools and community colleges for pre-training workers,Texas Tech University System collaboration; local trade school/community college partnerships; Amarillo College partnership,20-year water agreement (2.5M gallons/day at 2x taxpayer rate); on-site nuclear (4 AP1000 reactors) + natural gas + solar + battery,SIGNIFICANT: Ogallala Life protests; community forums against water usage from depleted Ogallala Aquifer; air quality concerns; rural character concerns; TCEQ public meetings; residents fear ripple effects on farming,No,amarillotribune.org; prnewswire.com; texastribune.org; hppr.org,,,
